2026 SOLAR TERM CALENDAR
""
Season,Solar Term,Chinese,Date,Signal,Action,Sector Focus,Completed,Notes
Spring,Lichun,立春,2026-02-04,🟢,Increase exposure,"Technology, Industrials",✅,
Spring,Yushui,雨水,2026-02-19,🟢,Liquidity improves,Financials,⏳,
Spring,Jingzhe,惊蛰,2026-03-05,🟢,Tech stocks activate,Technology,⏳,
Spring,Chunfen,春分,2026-03-20,🟡,Hold/Rebalance,Balanced,⏳,
Spring,Qingming,清明,2026-04-05,🟡,Caution/Trim winners,Take profits,⏳,
Spring,Guyu,谷雨,2026-04-20,🟢,Accumulate quality,"Properties, Financials",⏳,
Summer,Lixia,立夏,2026-05-05,🟢,Risk-on,Growth sectors,⏳,
Summer,Xiaoman,小满,2026-05-21,🟡,Near peak/Partial profits,Take some profits,⏳,
Summer,Mangzhong,芒种,2026-06-05,🟡,Harvest time/Reduce,Reduce cyclicals,⏳,
Summer,Xiazhi,夏至,2026-06-21,🔴,Peak/Maximum caution,Defensive shift,⏳,Key date
Summer,Xiaoshu,小暑,2026-07-07,🔴,Start correction,Defensive,⏳,
Summer,Dashu,大暑,2026-07-23,🔴,Correction phase,Hold cash,⏳,
Autumn,Liqiu,立秋,2026-08-07,🟡,Harvest/Reduce risk,Further reduction,⏳,
Autumn,Chushu,处暑,2026-08-23,🟡,Exit positions,More reduction,⏳,
Autumn,Bailu,白露,2026-09-07,🟡,Defense mode,"Utilities, Staples",⏳,
Autumn,Qiufen,秋分,2026-09-23,🟡,Rebalance,Balanced,⏳,
Autumn,Hanlu,寒露,2026-10-08,🟡,Caution/Increase cash,More cash,⏳,
Autumn,Shuangjiang,霜降,2026-10-23,🟢,Low approaching/Prepare,Prepare to buy,⏳,
Winter,Lidong,立冬,2026-11-07,🟢,Accumulation starts,Begin buying,⏳,
Winter,Xiaoxue,小雪,2026-11-22,🟢,Gradual build,Quality stocks,⏳,
Winter,Daxue,大雪,2026-12-07,🟢,Deep value,Aggressive accumulation,⏳,
Winter,Dongzhi,冬至,2026-12-21,🟢🔺,Turning point/MAX position,All growth sectors,⏳,KEY DATE
Winter,Xiaohan,小寒,2027-01-05,🟢,Hold positions,Maintain,⏳,
Winter,Dahan,大寒,2027-01-20,🟢,Prepare for spring,Final adjustments,⏳,
